
Rank    Country/Region  Total electricity   consumption(GW·h/yr)    Year of data    Source  Population  As of	Average electrical power per capita kWh per year	Watts
1	 China	8,312,800	2021	ENGLISH.GOV.CN[5]	1,412,600,000	2021	5,885	671
2	 United States	3,989,566	2019 est.	EIA	328,200,000	2019	12,154	1,387
3	 India	1,248,086	2020 est.	CSO[6]	1,384,660,000	2021	1,255	107
4	 Russia	965,156	2019 est.	EIA	146,700,000	2019	6,685	763
5	 Japan	902,842	2019 est.	EIA	126,860,000	2019	7,150	816
6	 Brazil	597,234	2019 est.	EIA	210,000,000	2019	2,830	323
7	 Canada	549,263	2019 est.	EIA	37,534,000	2019	14,612	1,667
8	 Korea, South	527,035	2019 est.	EIA	51,710,000	2019	10,192	1,163
9	 Germany	524,268	2019 est.	EIA	83,695,430	2019	6,306	719
10	 France	449,422	2019 est.	EIA	66,980,000	2019	6,702	765
11	 Saudi Arabia	322,372	2018 est.	EIA	33,413,000	2019	9,407	1,073
12	 Indonesia	307,566	2021	ESDM[7]	273,879,750	2021	1,123	128
13	 United Kingdom	300,520	2019 est.	EIA	66,800,000	2019	4,496	513
14	 Italy	297,150	2019 est.	EIA	60,244,000	2019	4,928	562
15	 Mexico	267,910	2019 est.	EIA	127,580,000	2019	2,100	240
16	 Iran	254,724	2018 est.	EIA	82,913,910	2019	3,072	350
17	 Turkey	251,376	2019 est.	EIA	83,429,620	2019	3,013	344
18	 Spain	241,563	2019 est.	EIA	47,076,780	2019	5,131	585
19	 Australia	241,020	2019 est.	EIA	25,364,310	2019	9,502	1,084
20	 Taiwan	237,557	2019 est.	EIA	23,775,000	2019	9,992	1,140
21	 Vietnam	216,994	2018 est.	EIA	96,462,110	2019	2,250	257
22	 South Africa	210,304	2019 est.	EIA	389,558,270???	2019	3,591	410
23	 Thailand	185,852	2018 est.	EIA	69,625,580	2019	2,669	305
24	 Egypt	150,579	2018 est.	EIA	512,388,070???	2019	1,500	171
25	 Ukraine	128,806	2019 est.	EIA	14,385,150	2019	2,902	331
26	 Poland	152,573	2019 est.	EIA	38,036,118	2021	4,018	458
27	 Malaysia	147,209	2018 est.	EIA	31,949,780	2019	4,608	526
28	 Sweden	131,798	2019 est.	EIA	10,285,450	2020	13,085	1,462
29	 Norway	131,931	2022 est.	EIA	5,455,582	2022	24,182	2,758
30	 Argentina	125,030	2018 est.	EIA	44,938,710	2019	2,782	317
31	 Netherlands	110,682	2019 est.	EIA	17,332,850	2019	6,386	728
32	 United Arab Emirates	119,455	2018 est.	EIA	9,770,530	2019	12,226	1,395
33	 Philippines	93,354	2019 est.	EIA	108,116,620	2019	863	99
34	 Kazakhstan	91,668	2018 est.	EIA	18,513,930	2019	4,951	565
35	 Pakistan	90,000	2020 est.	EIA	216,565,320	2019	557	64
36	 Finland	84,207	2019 est.	EIA	5,520,310	2019	15,254	1,740
37	 Belgium	82,051	2019 est.	EIA	11,484,060	2019	7,145	815
38	 Venezuela	64,660	2018 est.	EIA	28,515,830	2019	2,268	259
39	 Austria	66,849	2019 est.	EIA	8,877,070	2019	7,530	859
40	 Chile	74,992	2019 est.	EIA	18,952,040	2019	3,957	451
41	 Czech Republic	63,920	2019 est.	EIA	10,669,710	2019	5,991	683
42	 Colombia	70,203	2018 est.	EIA	50,339,440	2019	1,395	159
43	 Israel	56,391	2018 est.	EIA	9,053,300	2019	6,229	711
44	 Switzerland	56,353	2019 est.	EIA	8,574,830	2019	6,572	750
45	 Bangladesh	70,594	2018 est.	EIA	163,046,160	2019	433	49
46	 Kuwait	59,278	2018 est.	EIA	4,207,080	2019	14,090	1,607
47	 Greece	53,635	2019 est.	EIA	10,716,320	2019	5,005	571
48	 Algeria	62,062	2018 est.	EIA	43,053,050	2019	1,442	164
49	 Romania	55,008	2019 est.	EIA	19,356,540	2019	2,842	324
50	 Uzbekistan	49,204	2018 est.	EIA	33,580,650	2019	1,465	167
51	 Singapore	47,583	2019 est.	EIA	5,703,570	2019	8,343	952
52	 Portugal	48,035	2019 est.	EIA	10,269,420	2019	4,677	534
53	 Hong Kong	44,730	2018 est.	EIA	7,507,400	2019	5,958	680
54	 Iraq	43,971	2018 est.	EIA	39,309,780	2019	1,119	128
55	 New Zealand	41,165	2019 est.	EIA	5,123,000	2021	8,372	955
56	 Hungary	41,621	2019 est.	EIA	9,769,950	2019	4,260	486
57	 Peru	47,409	2018 est.	EIA	32,510,450	2019	1,458	166
58	 Qatar	43,375	2018 est.	EIA	2,832,070	2019	15,316	1,747
59	 Belarus	32,736	2019 est.	EIA	9,466,860	2019	3,458	394
60	 Denmark	32,703	2019 est.	EIA	5,818,550	2019	5,620	641
61	 Bulgaria	33,134	2019 est.	EIA	6,975,760	2019	4,750	542
62	 Morocco	29,678	2018 est.	EIA	36,471,770	2019	814	93
63	 Slovakia	26,237	2019 est.	EIA	5,454,070	2019	4,810	549
64	 Serbia	30,292	2018 est.	EIA	6,944,980	2019	4,362	498
65	 Bahrain	27,447	2018 est.	EIA	1,641,170	2019	16,724	1,908
66	 Ireland	27,203	2019 est.	EIA	4,941,440	2019	5,505	628
67	 Oman	31,766	2018 est.	EIA	4,974,990	2019	6,385	728
68	 Nigeria	29,011	2018 est.	EIA	2,10,963,600	2019	144	16
69	 Ecuador	24,605	2018 est.	EIA	17,373,660	2019	1,416	162
70	 Azerbaijan	20,286	2018 est.	EIA	10,023,320	2019	2,024	231
71	 Puerto Rico	15,466	2018 est.	EIA	3,193,690	2019	4,843	552
72	 Iceland	18,679	2019 est.	EIA	361,310	2019	51,699	5,898
73	 Syria	14,263	2018 est.	EIA	17,070,130	2019	836	95
74	 Croatia	17,475	2019 est.	EIA	4,067,500	2019	4,296	490
75	 Jordan	17,384	2018 est.	EIA	10,101,690	2019	1,721	196
76	 Lebanon	17,708	2018 est.	EIA	6,855,710	2019	2,583	295
77	 Dominican Republic	16,067	2018 est.	EIA	10,738,960	2019	1,496	171
78	 Tunisia	15,838	2018 est.	EIA	11,694,720	2019	1,354	154
79	 Cuba	16,341	2018 est.	EIA	11,333,480	2019	1,442	164
80	 Korea, North	12,708	2018 est.	EIA	25,666,160	2019	495	56
81	 Slovenia	14,023	2019 est.	EIA	2,087,950	2019	6,716	766
82	 Turkmenistan	15,090	2018 est.	EIA	5,942,090	2019	2,540	290
83	 Tajikistan	16,085	2019 est.	EIA	9,321,020	2019	1,726	197
84	 Mozambique	13,390	2018 est.	EIA	30,366,040	2019	441	50
85	 Kyrgyzstan	11,740	2018 est.	EIA	6,456,900	2019	1,818	207
86	 Sri Lanka	13,438	2018 est.	EIA	21,803,000	2019	616	70
87	 Zambia	13,097	2018 est.	EIA	17,861,030	2019	733	84
88	 Bosnia and Herzegovina	12,253	2018 est.	EIA	3,301,000	2019	3,712	423
89	 Myanmar	18,024	2018 est.	EIA	54,045,420	2019	333	38
90	 Uruguay	11,812	2018 est.	EIA	3,461,730	2019	3,412	389
91	 Lithuania	11,306	2019 est.	EIA	2,786,840	2019	4,057	463
92	 Sudan	11,463	2018 est.	EIA	42,813,240	2019	268	31
93	 Georgia	12,179	2019 est.	EIA	3,720,380	2019	3,274	373
94	 Paraguay	13,097	2018 est.	EIA	7,044,640	2019	1,859	212
95	 Libya	25,693	2018 est.	EIA	6,777,450	2019	3,791	432
