#data obtained from https://github.com/owid/energy-data
country,countrycode,year,gdppc,pop,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,low_carbon_electricity,nuclear_electricity,oil_electricity,other_renewable_electricity,other_renewable_exc_biofuel_electricity,per_capita_electricity,renewables_electricity,solar_electricity,wind_electricity
Algeria,DZA,2018,14228.0,41490.0,0.0,0.0,71.33,70.02,0.12,0.78,0.0,1.31,0.0,0.0,1719.894,0.78,0.65,0.01
Argentina,ARG,2018,18556.0,44695.0,1.5,1.92,98.31,89.76,31.96,41.48,6.51,6.63,1.5,0.0,3147.46,34.97,0.11,1.4
Australia,AUS,2018,49831.0,24855.0,3.5,152.53,207.45,50.14,15.8,42.93,0.0,4.78,3.5,0.0,10023.528,42.93,9.93,13.7
Austria,AUT,2018,42988.0,8892.0,4.93,1.81,14.98,9.92,37.64,50.06,0.0,3.25,4.93,0.0,7357.035,50.06,1.46,6.03
Azerbaijan,AZE,2018,16628.0,9648.0,0.0,0.0,21.95,13.98,1.75,1.87,0.0,7.97,0.0,0.0,2346.215,1.87,0.04,0.08
Bangladesh,BGD,2018,4099.0,167475.0,0.03,3.2,72.57,53.79,1.08,1.4,0.0,15.58,0.03,0.0,451.907,1.4,0.28,0.01
Belarus,BLR,2018,18727.0,9528.0,0.21,0.0,35.86,35.86,0.32,0.81,0.0,0.0,0.21,0.0,3782.138,0.81,0.18,0.1
Belgium,BEL,2018,39756.0,11429.0,5.46,0.09,27.84,23.99,0.31,45.73,28.6,3.76,5.46,0.0,6426.114,17.13,3.9,7.46
Brazil,BRA,2018,14034.0,211308.0,52.13,22.68,86.69,52.36,388.97,507.45,14.79,11.65,52.13,0.0,2826.995,492.66,3.44,48.12
Bulgaria,BGR,2018,18444.0,7167.0,1.57,18.66,21.04,2.02,5.15,25.51,16.13,0.36,1.57,0.0,6540.288,9.38,1.34,1.32
Canada,CAN,2018,44869.0,37206.0,9.74,46.75,112.47,62.17,382.02,523.42,95.03,3.55,9.76,0.02,17169.855,428.39,3.76,32.85
Chile,CHL,2018,22105.0,18676.0,0.0,29.31,43.85,11.71,23.21,32.89,0.0,2.83,9.157,0.21,4103.425,32.89,5.45,4.02
China,CHN,2018,13102.0,1385439.0,93.73,4763.92,4990.28,215.5,1198.89,2130.32,295.0,10.86,93.725,0.0,5024.877,1835.32,176.9,365.8
Colombia,COL,2018,13545.0,48128.0,0.84,4.33,19.13,9.76,59.16,60.06,0.0,5.04,0.84,0.0,1607.039,60.06,0.02,0.04
Croatia,HRV,2018,22012.0,3861.0,0.67,1.45,3.77,2.25,7.7,9.78,0.0,0.07,0.67,0.0,3256.83,9.78,0.07,1.34
Cyprus,CYP,2018,27184.0,1022.0,0.06,0.0,4.58,0.0,0.0,0.48,0.0,4.58,0.06,0.0,4151.508,0.48,0.2,0.22
Denmark,DNK,2018,46312.0,5794.0,5.89,6.57,9.61,2.07,0.01,20.75,0.0,0.97,5.89,0.0,5264.72,20.75,0.95,13.9
Ecuador,ECU,2018,10639.0,16499.0,1.71,0.0,6.73,1.46,20.47,22.3,0.0,5.27,1.71,0.0,1706.074,22.3,0.04,0.08
Egypt,EGY,2018,11957.0,102184.0,0.0,0.0,182.31,158.63,12.77,17.31,0.0,23.68,0.0,0.0,1924.219,17.31,1.52,3.02
Estonia,EST,2018,27409.0,1292.0,1.31,0.0,10.38,0.06,0.01,1.99,0.0,10.32,1.31,0.0,9356.001,1.99,0.03,0.64
Finland,FIN,2018,38897.0,5516.0,12.91,5.79,15.05,4.2,13.3,54.93,22.79,5.06,12.91,0.0,12687.961,32.14,0.09,5.84
France,FRA,2018,38516.0,67029.0,8.38,8.31,49.27,30.61,65.11,526.53,412.94,10.35,8.99,0.61,8957.99,113.59,10.89,28.6
Germany,DEU,2018,46178.0,84152.0,50.9,228.16,334.65,83.59,17.69,300.5,76.0,22.9,51.08,0.18,7661.946,224.5,45.78,109.95
Greece,GRC,2018,23451.0,10662.0,0.31,17.19,37.11,14.09,5.74,16.14,0.0,5.83,0.31,0.0,5007.864,16.14,3.79,6.3
Hungary,HUN,2018,25623.0,9774.0,2.3,4.67,12.41,7.26,0.22,19.5,15.73,0.48,2.31,0.01,3263.996,3.77,0.63,0.61
Iceland,ISL,2018,43439.0,353.0,0.0,0.0,0.0,0.0,13.81,19.82,0.0,0.0,6.01,6.01,56155.102,19.82,0.0,0.0
India,IND,2018,6806.0,1298136.0,27.22,1198.86,1276.32,71.26,139.75,302.66,39.05,6.2,27.224,0.0,1153.379,263.61,36.33,60.31
Indonesia,IDN,2018,11852.0,259494.0,12.13,160.01,235.41,57.45,21.64,48.38,0.0,17.95,26.46,14.33,1062.618,48.38,0.09,0.19
Iraq,IRQ,2018,12836.0,40012.0,0.0,0.0,80.93,65.33,1.8,2.18,0.0,15.6,0.0,0.0,2047.513,2.18,0.38,0.0
Ireland,IRL,2018,64684.0,4859.0,0.85,2.15,20.7,16.02,0.69,10.2,0.0,2.53,0.85,0.0,6391.552,10.2,0.02,8.64
Israel,ISR,2018,32955.0,8460.0,0.1,19.95,67.02,47.07,0.0,1.85,0.0,0.0,0.1,0.0,8144.044,1.85,1.57,0.18
Italy,ITA,2018,34364.0,60447.0,19.14,28.47,172.98,128.56,48.79,114.41,0.0,15.95,25.25,6.11,4799.638,114.41,22.65,17.72
Japan,JPN,2018,38674.0,125848.0,30.85,321.95,780.61,396.79,80.63,231.45,47.82,61.87,33.15,2.3,8015.944,183.63,62.67,7.18
Kazakhstan,KAZ,2018,25308.0,18323.0,0.0,74.83,96.36,21.47,10.38,10.91,0.0,0.06,0.002,0.0,5786.461,10.91,0.14,0.39
Kuwait,KWT,2018,65521.0,4229.0,0.0,0.0,69.58,69.58,0.0,0.06,0.0,0.0,0.0,0.0,16130.862,0.06,0.02,0.04
Latvia,LVA,2018,24313.0,1927.0,0.94,0.0,3.23,3.22,2.43,3.49,0.0,0.01,0.94,0.0,3471.734,3.49,0.0,0.12
Lithuania,LTU,2018,27371.0,2799.0,0.54,0.0,0.55,0.33,0.43,2.2,0.0,0.22,0.54,0.0,956.147,2.2,0.09,1.14
Luxembourg,LUX,2018,57428.0,610.0,0.22,0.0,0.28,0.2,0.09,0.68,0.0,0.08,0.22,0.0,1579.155,0.68,0.12,0.25
Malaysia,MYS,2018,24842.0,31143.0,1.35,77.29,142.27,64.05,26.33,28.31,0.0,0.93,1.351,0.0,5264.934,28.31,0.63,0.0
Mexico,MEX,2018,16494.0,121656.0,7.5,28.47,259.92,196.45,32.3,72.1,13.32,35.0,12.59,5.09,2677.281,58.78,1.36,12.53
Morocco,MAR,2018,8451.0,35496.0,0.03,19.98,27.71,4.08,1.68,6.52,0.0,3.65,0.03,0.0,952.752,6.52,0.95,3.86
Netherlands,NLD,2018,47474.0,17232.0,4.57,27.47,91.08,57.49,0.07,22.41,3.51,6.12,4.57,0.0,6565.413,18.9,3.71,10.55
New Zealand,NZL,2018,35336.0,4840.0,0.38,1.52,7.18,5.19,25.99,36.25,0.0,0.47,8.11,7.73,8975.87,36.25,0.1,2.05
Norway,NOR,2018,84580.0,5313.0,0.2,0.04,2.96,2.18,138.8,142.88,0.0,0.74,0.2,0.0,27453.16,142.88,0.0,3.88
Oman,OMN,2018,36478.0,4725.0,0.0,0.0,35.45,35.45,0.0,0.02,0.0,0.0,0.0,0.0,7708.926,0.02,0.02,0.0
Pakistan,PAK,2018,5510.0,219964.0,1.58,11.31,87.94,58.96,37.01,51.96,9.29,17.67,1.58,0.0,636.686,42.67,0.92,3.16
Peru,PER,2018,12310.0,31382.0,0.6,0.47,21.41,16.98,30.41,33.26,0.0,3.96,0.6,0.0,1697.618,33.26,0.75,1.5
Philippines,PHL,2018,8139.0,112106.0,1.6,40.47,76.04,15.56,9.29,23.73,0.0,20.01,12.04,10.44,918.956,23.73,1.25,1.15
Poland,POL,2018,27455.0,38371.0,6.55,130.56,147.87,12.63,1.97,21.62,0.0,4.68,6.55,0.0,4399.885,21.62,0.3,12.8
Portugal,PRT,2018,27036.0,10221.0,3.16,12.01,29.0,15.61,12.39,29.41,0.0,1.38,3.39,0.23,5676.477,29.41,1.01,12.62
Qatar,QAT,2018,153764.0,2606.0,0.03,0.0,45.14,45.14,0.0,0.04,0.0,0.0,0.03,0.0,16329.671,0.04,0.01,0.0
