,UMAP1,UMAP2,kmeans2,species,sex,kmeans3
0,9.221548,2.0882695,0,Adelie,Male,2
1,11.532912,3.1075766,0,Adelie,Female,2
2,10.70535,3.3135312,0,Adelie,Female,2
3,9.366254,1.9554032,0,Adelie,Female,2
4,7.987917,4.029824,0,Adelie,Male,0
5,10.714403,1.8113239,0,Adelie,Female,2
6,9.3137,6.30412,0,Adelie,Male,0
7,10.363178,1.6239095,0,Adelie,Female,2
8,7.9305854,4.1380258,0,Adelie,Male,0
9,8.061073,3.74247,0,Adelie,Male,0
10,12.006904,1.5113235,0,Adelie,Female,2
11,9.388445,2.9772737,0,Adelie,Female,2
12,7.211689,6.481246,0,Adelie,Male,0
13,11.090882,0.45831266,0,Adelie,Female,2
14,6.617185,6.5275507,0,Adelie,Male,0
15,10.647771,0.60240924,0,Adelie,Female,2
16,10.129742,1.0815876,0,Adelie,Male,2
17,9.769342,1.7367662,0,Adelie,Female,2
18,10.922952,2.8217034,0,Adelie,Male,2
19,12.1804905,1.9233782,0,Adelie,Male,2
20,10.530328,1.289754,0,Adelie,Female,2
21,9.097805,2.4368057,0,Adelie,Male,2
22,10.237029,2.009309,0,Adelie,Female,2
23,10.619934,0.62083244,0,Adelie,Female,2
24,8.7476015,2.981618,0,Adelie,Male,2
25,12.073248,0.66405416,0,Adelie,Female,2
26,10.742712,1.3395685,0,Adelie,Male,2
27,10.855527,2.2272289,0,Adelie,Female,2
28,8.59054,3.443326,0,Adelie,Male,2
29,13.05266,1.0949525,0,Adelie,Female,2
30,7.974812,4.7928057,0,Adelie,Male,0
31,8.082008,3.648834,0,Adelie,Male,0
32,8.590069,2.8652277,0,Adelie,Female,2
33,10.297781,0.7913622,0,Adelie,Female,2
34,9.760884,5.2258024,0,Adelie,Male,0
35,11.038496,0.46463335,0,Adelie,Female,2
36,10.567197,5.4271235,0,Adelie,Male,0
37,10.834869,0.59168434,0,Adelie,Female,2
38,7.910734,7.2484245,0,Adelie,Male,0
39,12.387046,0.09351678,0,Adelie,Female,2
40,10.432558,6.033732,0,Adelie,Male,0
41,8.636104,2.6309106,0,Adelie,Male,2
42,12.115584,1.3059127,0,Adelie,Female,2
43,7.6592054,5.5823317,0,Adelie,Male,0
44,10.980455,2.5053415,0,Adelie,Female,2
45,9.998154,5.1284256,0,Adelie,Male,0
46,12.113857,0.7535731,0,Adelie,Female,2
47,8.824091,6.457322,0,Adelie,Male,0
48,11.341264,0.26484755,0,Adelie,Female,2
49,9.816489,4.7807918,0,Adelie,Male,0
50,11.568483,2.3287723,0,Adelie,Female,2
51,9.9523115,4.9607677,0,Adelie,Male,0
52,12.415721,-0.3254728,0,Adelie,Female,2
53,9.615103,3.0395262,0,Adelie,Male,2
54,12.471653,-0.10153052,0,Adelie,Female,2
55,7.6175613,5.902123,0,Adelie,Male,0
56,12.882169,1.4067472,0,Adelie,Female,2
57,10.7732725,5.543444,0,Adelie,Male,0
58,12.201025,-0.042307477,0,Adelie,Female,2
59,10.789614,5.5825644,0,Adelie,Male,0
60,13.147582,0.42445648,0,Adelie,Female,2
61,9.511963,5.1170087,0,Adelie,Male,0
62,12.9328165,0.21253757,0,Adelie,Female,2
63,8.773919,7.0282393,0,Adelie,Male,0
64,10.875335,0.7640744,0,Adelie,Female,2
65,10.527839,4.136164,0,Adelie,Male,2
66,11.758951,3.7085934,0,Adelie,Female,2
67,8.047388,7.593534,0,Adelie,Male,0
68,12.828544,1.3759061,0,Adelie,Female,2
69,9.633778,6.9625463,0,Adelie,Male,0
70,11.809553,3.924537,0,Adelie,Female,2
71,9.011368,2.1800928,0,Adelie,Male,2
72,13.133518,0.36337927,0,Adelie,Female,2
73,9.125538,6.1119123,0,Adelie,Male,0
74,12.549425,0.049627807,0,Adelie,Female,2
75,10.103659,7.8025947,0,Adelie,Male,0
76,10.086872,1.7071391,0,Adelie,Female,2
77,10.080589,2.9515555,0,Adelie,Male,2
78,11.931787,1.7751979,0,Adelie,Female,2
79,8.053359,4.3465343,0,Adelie,Male,0
80,9.18103,2.1409178,0,Adelie,Male,2
81,10.326289,1.5125115,0,Adelie,Female,2
82,9.1368,3.1792858,0,Adelie,Male,2
83,9.390248,2.8008244,0,Adelie,Female,2
84,11.90178,3.0829716,0,Adelie,Female,2
85,10.231068,7.6396103,0,Adelie,Male,0
86,12.716697,-0.11173529,0,Adelie,Female,2
87,10.980561,5.1893125,0,Adelie,Male,0
88,12.267724,0.55603087,0,Adelie,Female,2
89,9.799636,7.60786,0,Adelie,Male,0
90,10.224702,2.7245877,0,Adelie,Female,2
91,10.7709875,6.798987,0,Adelie,Male,0
92,12.686154,-0.3527189,0,Adelie,Female,2
93,9.50839,6.388274,0,Adelie,Male,0
94,12.605007,1.6807743,0,Adelie,Female,2
95,8.107301,7.4969206,0,Adelie,Male,0
96,12.877288,0.21692364,0,Adelie,Female,2
97,8.252392,3.6485546,0,Adelie,Male,0
98,10.338672,1.2318444,0,Adelie,Female,2
99,8.910622,2.3174546,0,Adelie,Male,2
100,11.851022,4.0149155,0,Adelie,Female,2
101,8.235182,3.4625664,0,Adelie,Male,0
102,12.122602,0.39240846,0,Adelie,Female,2
103,8.367455,7.7252474,0,Adelie,Male,0
104,11.892499,3.8358219,0,Adelie,Female,2
105,6.804983,6.6866035,0,Adelie,Male,0
106,11.143823,2.784232,0,Adelie,Female,2
107,8.645677,6.7092013,0,Adelie,Male,0
108,8.076429,4.130561,0,Adelie,Female,0
109,10.196041,6.9042473,0,Adelie,Male,0
110,12.165039,0.7517844,0,Adelie,Female,2
111,8.002589,3.6705227,0,Adelie,Male,0
112,12.895642,0.6117821,0,Adelie,Female,2
113,9.077334,2.9138842,0,Adelie,Male,2
114,12.27364,0.23122282,0,Adelie,Female,2
115,8.5885515,3.11329,0,Adelie,Male,2
116,11.814215,1.3461387,0,Adelie,Female,2
117,10.501114,6.9448028,0,Adelie,Male,0
118,13.067525,-0.042106923,0,Adelie,Female,2
119,9.90571,6.2135086,0,Adelie,Male,0
120,11.58116,2.2925413,0,Adelie,Female,2
121,10.625567,6.94613,0,Adelie,Male,0
122,12.331072,1.8601438,0,Adelie,Female,2
123,9.670896,7.8521028,0,Adelie,Male,0
124,11.089817,2.0933318,0,Adelie,Female,2
125,8.735558,5.6263957,0,Adelie,Male,0
126,10.729557,2.0429032,0,Adelie,Female,2
127,11.2227125,5.7004385,0,Adelie,Male,0
128,11.785675,1.718796,0,Adelie,Female,2
129,11.172817,5.0878577,0,Adelie,Male,0
130,12.305905,0.4887123,0,Adelie,Female,2
131,8.557973,5.729019,0,Adelie,Male,0
132,12.986619,0.60888076,0,Adelie,Female,2
133,11.26334,5.4750423,0,Adelie,Male,0
134,11.821436,3.4003084,0,Adelie,Female,2
135,11.496479,3.0567317,0,Adelie,Male,2
136,12.853569,-0.2054821,0,Adelie,Female,2
137,11.7619,3.8624177,0,Adelie,Male,2
138,12.90182,0.7566571,0,Adelie,Female,2
139,9.350425,2.2091658,0,Adelie,Male,2
140,10.655455,5.0922956,0,Adelie,Male,0
141,10.646686,1.0040812,0,Adelie,Female,2
